Loaded 2 labels
Loaded 260 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:52, Time:1297ms, TrainError:0.2659334, TrainErrorChange:0.07508266, TrainAccuracy: 0.92903227
Epoch:53, Time:1298ms, TrainError:0.26536468, TrainErrorChange:-5.687177E-4, TrainAccuracy: 0.92419356
Epoch:54, Time:1298ms, TrainError:0.22040589, TrainErrorChange:-0.044958785, TrainAccuracy: 0.95483875
Epoch:55, Time:1300ms, TrainError:0.25350258, TrainErrorChange:0.033096686, TrainAccuracy: 0.9032258
Epoch:56, Time:1297ms, TrainError:0.29830113, TrainErrorChange:0.044798553, TrainAccuracy: 0.8983871
Epoch:57, Time:1296ms, TrainError:0.26728263, TrainErrorChange:-0.031018496, TrainAccuracy: 0.9483871
Epoch:58, Time:1297ms, TrainError:0.19702996, TrainErrorChange:-0.07025267, TrainAccuracy: 0.92741936
Epoch:59, Time:1297ms, TrainError:0.23320533, TrainErrorChange:0.03617537, TrainAccuracy: 0.9451613
Epoch:60, Time:1297ms, TrainError:0.15721922, TrainErrorChange:-0.07598612, TrainAccuracy: 0.95967746
Epoch:61, Time:1326ms, TrainError:0.15458122, TrainErrorChange:-0.0026379973, TrainAccuracy: 0.95483875
Epoch:62, Time:1295ms, TrainError:0.15053135, TrainErrorChange:-0.0040498674, TrainAccuracy: 0.9516129
Epoch:63, Time:1296ms, TrainError:0.14326642, TrainErrorChange:-0.007264927, TrainAccuracy: 0.95645165
Epoch:64, Time:1296ms, TrainError:0.15342109, TrainErrorChange:0.0101546645, TrainAccuracy: 0.95322585
Epoch:65, Time:1297ms, TrainError:0.22419614, TrainErrorChange:0.07077505, TrainAccuracy: 0.9048387
Epoch:66, Time:1299ms, TrainError:0.3712364, TrainErrorChange:0.14704028, TrainAccuracy: 0.93064517
Epoch:67, Time:1295ms, TrainError:0.2041767, TrainErrorChange:-0.16705972, TrainAccuracy: 0.93225807
Epoch:68, Time:1295ms, TrainError:0.24187061, TrainErrorChange:0.037693918, TrainAccuracy: 0.9387097
Epoch:69, Time:1297ms, TrainError:0.2599958, TrainErrorChange:0.018125176, TrainAccuracy: 0.9467742
Epoch:70, Time:1294ms, TrainError:0.28917822, TrainErrorChange:0.029182434, TrainAccuracy: 0.9403226
Epoch:71, Time:1295ms, TrainError:0.23344879, TrainErrorChange:-0.055729434, TrainAccuracy: 0.96129036
Epoch:72, Time:1296ms, TrainError:0.17075174, TrainErrorChange:-0.06269705, TrainAccuracy: 0.9387097
Epoch:73, Time:1295ms, TrainError:0.30260658, TrainErrorChange:0.13185485, TrainAccuracy: 0.933871
Epoch:74, Time:1295ms, TrainError:0.22066154, TrainErrorChange:-0.08194505, TrainAccuracy: 0.9467742
Epoch:75, Time:1299ms, TrainError:0.18091479, TrainErrorChange:-0.039746746, TrainAccuracy: 0.9516129
Epoch:76, Time:1300ms, TrainError:0.18975912, TrainErrorChange:0.008844331, TrainAccuracy: 0.9112903
Epoch:77, Time:1306ms, TrainError:0.18582062, TrainErrorChange:-0.003938496, TrainAccuracy: 0.95483875
Epoch:78, Time:1295ms, TrainError:0.1913383, TrainErrorChange:0.0055176765, TrainAccuracy: 0.95483875
Epoch:79, Time:1294ms, TrainError:0.13477634, TrainErrorChange:-0.05656196, TrainAccuracy: 0.92419356
Epoch:80, Time:1293ms, TrainError:0.12932049, TrainErrorChange:-0.0054558516, TrainAccuracy: 0.9516129
Epoch:81, Time:1305ms, TrainError:0.21773118, TrainErrorChange:0.08841069, TrainAccuracy: 0.96451616
Epoch:82, Time:1316ms, TrainError:0.3420284, TrainErrorChange:0.12429723, TrainAccuracy: 0.933871
Epoch:83, Time:1291ms, TrainError:0.20106207, TrainErrorChange:-0.14096634, TrainAccuracy: 0.92419356
Epoch:84, Time:1293ms, TrainError:0.31218714, TrainErrorChange:0.11112507, TrainAccuracy: 0.95483875
Epoch:85, Time:1294ms, TrainError:0.24605092, TrainErrorChange:-0.06613621, TrainAccuracy: 0.9403226
Epoch:86, Time:1298ms, TrainError:0.24794441, TrainErrorChange:0.0018934906, TrainAccuracy: 0.9435484
Epoch:87, Time:1298ms, TrainError:0.26993626, TrainErrorChange:0.021991849, TrainAccuracy: 0.9387097
Epoch:88, Time:1298ms, TrainError:0.20059334, TrainErrorChange:-0.069342926, TrainAccuracy: 0.93225807
Epoch:89, Time:1292ms, TrainError:0.19370423, TrainErrorChange:-0.006889105, TrainAccuracy: 0.95645165
Epoch:90, Time:1297ms, TrainError:0.16292205, TrainErrorChange:-0.030782178, TrainAccuracy: 0.96290326
Epoch:91, Time:1292ms, TrainError:0.12506667, TrainErrorChange:-0.037855387, TrainAccuracy: 0.9758065
Epoch:92, Time:1292ms, TrainError:0.14730379, TrainErrorChange:0.022237122, TrainAccuracy: 0.96935487
Epoch:93, Time:1294ms, TrainError:0.14938727, TrainErrorChange:0.0020834804, TrainAccuracy: 0.95806456
Epoch:94, Time:1293ms, TrainError:0.13655913, TrainErrorChange:-0.012828141, TrainAccuracy: 0.95645165
Epoch:95, Time:1294ms, TrainError:0.13184729, TrainErrorChange:-0.0047118366, TrainAccuracy: 0.95967746
Epoch:96, Time:1291ms, TrainError:0.12084998, TrainErrorChange:-0.01099731, TrainAccuracy: 0.9758065
Epoch:97, Time:1293ms, TrainError:0.19779296, TrainErrorChange:0.07694298, TrainAccuracy: 0.7580645
Epoch:98, Time:1307ms, TrainError:0.37249058, TrainErrorChange:0.17469762, TrainAccuracy: 0.916129
Epoch:99, Time:1297ms, TrainError:0.33449352, TrainErrorChange:-0.037997067, TrainAccuracy: 0.92903227
Epoch:100, Time:1292ms, TrainError:0.37064227, TrainErrorChange:0.036148757, TrainAccuracy: 0.88870966
Epoch:101, Time:1292ms, TrainError:0.3186976, TrainErrorChange:-0.051944673, TrainAccuracy: 0.9354839
Epoch:102, Time:1292ms, TrainError:0.20952456, TrainErrorChange:-0.109173045, TrainAccuracy: 0.95322585
Epoch:103, Time:1291ms, TrainError:0.22664236, TrainErrorChange:0.017117798, TrainAccuracy: 0.96129036
Epoch:104, Time:1290ms, TrainError:0.17021218, TrainErrorChange:-0.056430176, TrainAccuracy: 0.95806456
Epoch:105, Time:1291ms, TrainError:0.1918145, TrainErrorChange:0.021602318, TrainAccuracy: 0.9451613
Epoch:106, Time:1290ms, TrainError:0.17000997, TrainErrorChange:-0.021804526, TrainAccuracy: 0.95967746
Epoch:107, Time:1291ms, TrainError:0.22950038, TrainErrorChange:0.059490412, TrainAccuracy: 0.95806456
Epoch:108, Time:1289ms, TrainError:0.12124162, TrainErrorChange:-0.10825876, TrainAccuracy: 0.96774197
Epoch:109, Time:1289ms, TrainError:0.15499893, TrainErrorChange:0.033757307, TrainAccuracy: 0.95
Epoch:110, Time:1318ms, TrainError:0.24979411, TrainErrorChange:0.09479518, TrainAccuracy: 0.95483875
Epoch:111, Time:1290ms, TrainError:0.29582843, TrainErrorChange:0.04603432, TrainAccuracy: 0.9403226
Epoch:112, Time:1289ms, TrainError:0.24814962, TrainErrorChange:-0.047678813, TrainAccuracy: 0.95806456
Epoch:113, Time:1288ms, TrainError:0.23292416, TrainErrorChange:-0.015225455, TrainAccuracy: 0.95
Epoch:114, Time:1289ms, TrainError:0.19102836, TrainErrorChange:-0.041895807, TrainAccuracy: 0.96612906
Epoch:115, Time:1288ms, TrainError:0.22292161, TrainErrorChange:0.031893253, TrainAccuracy: 0.9451613
Epoch:116, Time:1287ms, TrainError:0.10627739, TrainErrorChange:-0.11664422, TrainAccuracy: 0.9774194
Epoch:117, Time:1288ms, TrainError:0.13579994, TrainErrorChange:0.029522553, TrainAccuracy: 0.9774194
Epoch:118, Time:1321ms, TrainError:0.13444568, TrainErrorChange:-0.0013542622, TrainAccuracy: 0.95645165
Epoch:119, Time:1414ms, TrainError:0.32497448, TrainErrorChange:0.1905288, TrainAccuracy: 0.9096774
Epoch:120, Time:1311ms, TrainError:0.17975616, TrainErrorChange:-0.14521831, TrainAccuracy: 0.96774197
Epoch:121, Time:1301ms, TrainError:0.13570115, TrainErrorChange:-0.044055015, TrainAccuracy: 0.9774194
Loaded 2 labels
Loaded 310 images
------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:1, Time:1483ms, TrainError:0.7257054, TrainErrorChange:0.7257054, TrainAccuracy: 0.7774193
Epoch:2, Time:1394ms, TrainError:0.70183593, TrainErrorChange:-0.023869455, TrainAccuracy: 0.8016129
Epoch:3, Time:1374ms, TrainError:0.6930822, TrainErrorChange:-0.008753717, TrainAccuracy: 0.8145161
Epoch:4, Time:1360ms, TrainError:0.6780832, TrainErrorChange:-0.014999032, TrainAccuracy: 0.8306452
Epoch:5, Time:1351ms, TrainError:0.66177404, TrainErrorChange:-0.016309142, TrainAccuracy: 0.82741934
Epoch:6, Time:1357ms, TrainError:0.6452022, TrainErrorChange:-0.01657182, TrainAccuracy: 0.833871
Epoch:7, Time:1336ms, TrainError:0.62890893, TrainErrorChange:-0.016293287, TrainAccuracy: 0.8435484
Epoch:8, Time:1343ms, TrainError:0.6110187, TrainErrorChange:-0.017890215, TrainAccuracy: 0.85645163
Epoch:9, Time:1316ms, TrainError:0.5899835, TrainErrorChange:-0.021035194, TrainAccuracy: 0.87096775
Epoch:10, Time:1316ms, TrainError:0.56714725, TrainErrorChange:-0.022836268, TrainAccuracy: 0.88225806
Epoch:11, Time:1332ms, TrainError:0.5480519, TrainErrorChange:-0.019095361, TrainAccuracy: 0.88870966
Epoch:12, Time:1422ms, TrainError:0.5275295, TrainErrorChange:-0.020522416, TrainAccuracy: 0.9032258
Epoch:13, Time:1317ms, TrainError:0.5052894, TrainErrorChange:-0.022240102, TrainAccuracy: 0.8983871
Epoch:14, Time:1320ms, TrainError:0.4838272, TrainErrorChange:-0.021462172, TrainAccuracy: 0.9048387
Epoch:15, Time:1347ms, TrainError:0.47442523, TrainErrorChange:-0.009401977, TrainAccuracy: 0.9096774
Epoch:16, Time:1362ms, TrainError:0.4610493, TrainErrorChange:-0.013375938, TrainAccuracy: 0.9096774
